,year,latitude,longitude,high
3,1989,35.315833000000005,69.038889,600
17,1989,35.118365999999995,69.23569499999999,257
46,1989,34.531094,69.162796,200
50,1989,34.531094,69.162796,200
52,1990,34.548072999999995,68.936374,1100
64,1991,35.641366,64.279081,153
79,1996,35.432777,69.6825,165
80,1996,35.315833000000005,69.038889,100
82,1989,34.395614,68.866179,180
86,1990,34.505466999999996,68.88595699999999,135
87,1990,34.364943,69.433654,136
88,1990,32.10368,66.905121,205
94,1991,34.87455,71.146812,400
95,1991,34.1279,69.0566,400
96,1991,34.395614,68.866179,100
104,1992,34.531094,69.162796,600
106,1992,34.531094,69.162796,700
128,1992,34.531094,69.162796,500
129,1992,34.531094,69.162796,293
130,1992,34.531094,69.162796,766
131,1992,34.531094,69.162796,156
132,1992,34.531094,69.162796,471
133,1992,34.531094,69.162796,150
135,1992,34.4834,69.2168,170
145,1992,35.75,69.0,400
149,1992,34.349990999999996,62.200001,150
158,1993,34.531094,69.162796,146
159,1993,34.531094,69.162796,3717
160,1993,33.0,65.0,350
161,1993,34.531094,69.162796,562
183,1993,34.531094,69.162796,374
185,1993,34.531094,69.162796,314
186,1993,34.531094,69.162796,300
196,1993,31.6536,65.650482,130
205,1993,34.791140000000006,69.660444,166
251,1994,33.492041,64.36809699999999,200
389,1989,34.4064,70.6376,215
390,1989,34.3539,70.7778,216
399,1989,34.428844,70.45575,200
400,1989,34.428844,70.45575,3551
401,1989,34.428844,70.45575,2960
402,1989,34.428844,70.45575,429
403,1989,34.400673,70.500383,300
404,1989,34.428844,70.45575,391
405,1989,34.428844,70.45575,560
407,1989,34.428844,70.45575,222
415,1989,34.428844,70.45575,250
416,1989,34.428844,70.45575,126
417,1989,34.428844,70.45575,326
418,1989,33.335091,69.91841099999999,191
431,1989,34.428844,70.45575,277
438,1989,33.335091,69.91841099999999,723
441,1989,34.428844,70.45575,102
442,1989,33.335091,69.91841099999999,194
443,1989,34.428844,70.45575,139
445,1989,34.428844,70.45575,280
446,1989,33.335091,69.91841099999999,280
447,1989,31.611795,65.705795,132
448,1989,33.335091,69.91841099999999,133
449,1989,34.428844,70.45575,133
460,1989,33.335091,69.91841099999999,1000
462,1989,33.957733000000005,67.545417,280
485,1991,33.335091,69.91841099999999,1575
486,1991,33.335091,69.91841099999999,150
513,1991,34.428844,70.45575,200
525,1989,34.349990999999996,62.200001,104
534,1992,34.531094,69.162796,134
548,1993,34.531094,69.162796,176
587,1994,34.531094,69.162796,755
604,1990,34.531094,69.162796,108
605,1990,34.531094,69.162796,105
609,1994,34.531094,69.162796,1759
613,1994,34.531094,69.162796,779
614,1994,34.531094,69.162796,259
616,1994,34.531094,69.162796,962
617,1994,34.531094,69.162796,149
618,1994,34.531094,69.162796,1796
635,1994,36.83333,65.83333,100
640,1994,36.667567,65.752904,250
648,1994,34.531094,69.162796,100
656,1994,36.726131,68.865189,400
678,1994,36.691689000000004,68.79615,200
704,1994,35.0,63.75,120
707,1994,36.700067,67.116647,100
730,1994,35.609182000000004,68.684729,700
775,1994,36.75,68.75,100
805,1995,35.856469,66.384169,104
858,1995,35.634858,69.37295999999999,200
860,1995,33.302944000000004,62.1474,200
862,1995,34.531094,69.162796,200
871,1995,34.385312,69.073766,150
874,1995,33.390811,62.258835,200
876,1995,32.5,62.5,880
880,1995,32.5,62.5,100
881,1995,34.5,62.0,100
886,1995,32.5,62.5,250
887,1995,32.5,62.5,300
892,1995,31.0,62.5,200
893,1995,32.468709000000004,64.47606,200
914,1995,34.531094,69.162796,363
1019,1996,34.531094,69.162796,123
1120,1996,34.783333,70.18333299999999,112
1122,1996,34.531094,69.162796,100
1126,1996,34.519721999999994,69.34777700000001,150
1139,2003,35.625362,63.297638,135
1579,2005,32.378207,66.335951,190
2329,2006,31.072875,65.158015,105
2330,2006,31.640454,65.397591,105
2606,2007,32.713324,69.27614,130
2978,2007,32.92962,66.2608,146
3025,2007,31.9014,64.7449,107
3222,2007,32.080455,66.007358,102
3322,2007,32.1792,64.8073,105
3544,2007,32.920909,65.474153,150
3622,2008,31.615129,65.575983,100
3801,2008,30.852921999999996,64.131675,130
4241,2008,31.0,64.0,189
4964,2009,32.622498,62.431197999999995,135
5248,2009,31.0,64.0,170
5704,2009,35.483273,71.314533,110
6044,2010,33.0,65.0,429
6045,2010,33.0,65.0,335
6771,2010,34.861777000000004,71.228891,157
8482,2011,35.213875,70.37346600000001,138
8515,2011,33.0,65.0,188
10596,2012,33.0,65.0,244
12106,2013,33.0,65.0,286
12107,2013,33.0,65.0,103
12330,2013,33.0,65.0,436
12331,2013,33.0,65.0,779
12671,2013,33.0,65.0,297
13967,2014,33.0,65.0,1899
14289,2014,33.0,65.0,686
14290,2014,33.0,65.0,507
14392,2014,33.0,65.0,505
15056,2014,34.281645000000005,69.770149,140
15100,2014,31.640454,65.397591,171
15129,2014,34.194185,69.980133,140
15917,2014,35.000833,71.437913,159
15987,2015,33.0,65.0,1576
15988,2015,33.0,65.0,1207
16244,2015,31.0,64.0,145
16702,2015,32.326913,67.897543,249
16734,2015,33.0,65.0,121
17091,2015,36.427881,70.798022,120
17208,2015,33.0,65.0,148
17465,2015,32.465816,64.737566,306
17613,2015,36.726131,68.865189,367
17614,2015,36.726131,68.865189,171
17636,2015,36.726131,68.865189,107
17652,2015,32.043898,65.195661,100
17657,2015,30.179475,66.051232,234
17748,2015,31.625940999999997,63.861444999999996,157
17761,2015,33.0,65.0,183
18043,2016,31.0,64.0,230
18044,2016,33.0,65.0,3921
18059,2016,31.625940999999997,63.861444999999996,120
